year,naics,wage
1991,4251,34230.457782211386
1991,4411,26940.502386711338
1991,4412,20384.667455973347
1991,4413,19363.739756425395
1991,4421,20024.832791089168
1991,4422,18158.49076025603
1991,4431,26812.94879472084
1991,4441,19735.778930486296
1991,4442,16936.419853291667
1991,4451,13623.198230398215
1991,4452,16673.917217798557
1991,4453,14263.95048989479
1991,4461,17652.24614639056
1991,4471,11665.28248069243
1991,4481,12122.809464237329
1991,4482,12359.187541196541
1991,4483,17327.505114097483
1991,4511,12405.134181321495
1991,4512,12129.347262390445
1991,4521,12690.305369883687
1991,4529,12815.337028232276
1991,4531,10429.581764460188
1991,4532,14847.714047744666
1991,4533,12169.513611469072
1991,4539,18300.139607422418
1991,4541,19970.348877119817
1991,4542,17522.009600635476
1991,4543,20597.802115471444
1991,4811,37345.114452372625
1991,4812,28372.289132935108
1991,4821,22023.1376146789
1991,4831,44900.34381466594
1991,4832,33041.76611804172
1991,4841,26137.06915223136
1991,4842,22613.38695265834
1991,4851,24777.129370516905
1991,4852,24088.81874403165
1991,4853,14296.156521885749
1991,4854,11772.602588734959
1991,4855,15678.926452552507
1991,4859,14762.788811340542
1991,4861,47417.46557266114
1991,4862,44761.09417593487
1991,4869,43516.348837209305
1991,4871,16503.71210636809
1991,4872,15035.064280881137
1991,4879,20118.772605988735
1991,4881,23296.513747326037
1991,4882,26687.302456541256
1991,4883,29998.387410921172
1991,4884,19453.05119605535
1991,4885,30384.437817559323
1991,4889,21555.940208447613
1991,4911,16959.822407214706
1991,4921,25889.025849586207
1991,4922,16155.16072126221
1991,4931,24234.981004621455
1991,5111,27423.135708633683
1991,5112,50648.0837894965
1991,5121,29118.108337602844
1991,5122,34657.0760750415
1991,5151,30986.05229775753
1991,5152,30080.989533498305
1991,5161,28381.131006406835
1991,5171,39297.7527364383
1991,5172,34417.910254819224
1991,5173,38850.44043796025
1991,5174,39390.79053437899
1991,5175,24894.094132433685
1991,5179,40091.552494061754
1991,5181,35424.192513025024
1991,5182,31531.13877042992
1991,5191,23497.82722106636
1991,5211,30905.87777541923
1991,5221,24889.499723590612
1991,5222,31696.460075977106
1991,5223,30583.229641104608
1991,5231,71928.38894782614
1991,5232,43115.67375886525
1991,5239,56782.020763137574
1991,5241,32691.904368693064
1991,5242,30717.11753125683
1991,5251,33685.27302472128
1991,5259,38698.893125995935
1991,5311,18404.23133638528
1991,5312,24943.856109055672
1991,5313,23801.33518599019
1991,5321,21592.820037547095
1991,5322,13446.263575896852
1991,5323,27039.265923455056
1991,5324,30724.262315798976
1991,5331,40430.34351921461
1991,5411,40619.0714618147
1991,5412,30374.346041063498
1991,5413,38188.443271127166
1991,5414,28149.656377284133
1991,5415,43196.81483067699
1991,5416,40781.09238910951
1991,5417,42101.79131078831
1991,5418,33504.33394785357
1991,5419,19467.632112651238
1991,5511,40657.29784311363
1991,5611,38981.14185127286
1991,5612,27770.753383252042
1991,5613,13650.848732481436
1991,5614,20304.56512170219
1991,5615,20453.92150841798
1991,5616,13776.988831310282
1991,5617,12836.630382322386
1991,5619,19761.16616625004
1991,5621,25684.285171936303
1991,5622,33534.14156791339
1991,5629,29662.89440317926
1991,6111,17889.78860632896
1991,6112,20405.409428846324
1991,6113,25415.680628091075
1991,6114,22170.509455863707
1991,6115,20379.590919992326
1991,6116,12588.247500692116
1991,6117,27859.761768134133
1991,6211,48480.052716853344
1991,6212,23037.227290829098
1991,6213,22346.022181706765
1991,6214,28729.44374583794
1991,6215,30240.501099162677
1991,6216,14891.984720753535
1991,6219,19319.585122490244
1991,6221,25147.818828302865
1991,6222,22971.12656921896
1991,6223,27510.45857362659
1991,6231,13867.688217583634
1991,6232,14517.329802996213
1991,6233,12916.806895166175
1991,6239,16283.956384548284
1991,6241,14830.532954429975
1991,6242,15408.029878098287
1991,6243,14211.913234903752
1991,6244,9652.547067403506
1991,7111,12039.525590435871
1991,7112,35216.50215733914
1991,7113,20488.588199243433
1991,7114,53273.74868135278
1991,7115,71556.45473912258
1991,7121,16581.072906069854
1991,7131,13961.643052622689
1991,7132,13666.971699097501
1991,7139,11631.775953502618
1991,7211,13595.892034203034
1991,7212,11886.360897399898
1991,7213,9640.549732273244
1991,7221,9091.618954943582
1991,7222,7983.276909013324
1991,7223,10788.072847832935
1991,7224,7599.934731487258
1991,8111,18294.655029624868
1991,8112,28660.752563678467
1991,8113,25640.656377934447
1991,8114,18502.694456502864
1991,8121,11147.435101191331
1991,8122,20203.79924335441
1991,8123,13429.55720201124
1991,8129,16219.540178971152
1991,8131,13340.016529762688
1991,8132,21951.520056163998
1991,8133,16573.054218370307
1991,8134,11349.840823075074
1991,8139,22492.679942158375
1991,8141,9632.637217165702
1992,1111,15901.32621607398
1992,1112,13063.103695748183
1992,1113,11698.321617875394
1992,1114,16267.62336825362
1992,1119,14013.672737972076
1992,1121,17314.506699021607
1992,1122,19118.111066639984
1992,1123,17992.74129875936
1992,1124,12394.524115755627
1992,1125,17618.924257328348
1992,1129,17173.490204641876
1992,1131,26881.75572519084
1992,1132,13814.460697553357
1992,1133,20926.695698122592
1992,1141,35151.05149127743
1992,1142,12513.63130252101
1992,1151,12028.078358379866
1992,1152,17204.855303933255
1992,1153,20248.579444063143
1992,2111,53564.95707656613
1992,2121,42295.11071672116
1992,2122,40960.474194550916
1992,2123,31847.428035458124
1992,2131,33476.0289810984
1992,2211,45325.88086767422
1992,2212,43418.33474759297
1992,2213,27447.60595640683
1992,2361,24199.50688126201
1992,2362,31980.937528663406
1992,2371,30536.153384338028
1992,2372,35792.68120111341
1992,2373,32068.057023426903
1992,2379,33189.52522134368
1992,2381,22449.581786916202
1992,2382,29455.929099207337
1992,2383,22847.604711092343
1992,2389,25126.243571490377
1992,3111,29160.230192524657
1992,3112,35861.71303680076
1992,3113,27280.938359918084
1992,3114,24150.49752955099
1992,3115,29035.434484086716
1992,3116,20080.658437016737
1992,3117,20341.394880625186
1992,3118,23119.5691203526
1992,3119,27385.09041272229
1992,3121,32864.896923143475
1992,3122,41733.79766969181
1992,3131,20207.6812307309
1992,3132,22927.233461892112
1992,3133,24583.310543234365
1992,3141,19304.83144963911
1992,3149,19227.385875806547
1992,3151,18221.60933537616
1992,3152,15458.143001224029
1992,3159,17985.762410865216
1992,3161,26013.764310883584
1992,3162,17577.878956593464
1992,3169,18765.940111500662
1992,3211,23580.785273856935
1992,3212,24369.78863610309
1992,3219,21478.316201869213
1992,3221,42599.39814269394
1992,3222,30513.666462366466
1992,3231,27781.139965446513
1992,3241,46445.22999117786
1992,3251,46976.18868071283
1992,3252,40874.20286493146
1992,3253,38914.73969810595
1992,3254,46346.72328988496
1992,3255,36277.238971662286
1992,3256,35609.68698307579
1992,3259,38856.50529941326
1992,3261,25793.58454081502
1992,3262,32580.1791176198
1992,3271,25500.083318571753
1992,3272,30760.50768184531
1992,3273,28169.767268238837
1992,3274,32232.28359030837
1992,3279,30811.766882114607
1992,3311,42013.83760201587
1992,3312,33620.542386091125
1992,3313,36902.72996946778
1992,3314,34835.785540479235
1992,3315,29775.522470641372
1992,3321,30596.47791328164
1992,3322,29788.72776950453
1992,3323,26910.34874190414
1992,3324,33839.48293217985
1992,3325,26739.006578462897
1992,3326,25767.46740485444
1992,3327,28749.64377230342
1992,3328,25785.464634727254
1992,3329,31486.799565871388
1992,3331,33366.73419771363
1992,3332,35254.95594917677
1992,3333,36773.31423348635
1992,3334,28874.113742814225
1992,3335,34667.82132018209
1992,3336,38535.61775399474
1992,3339,33120.56935810052
