year,sic,wage
1975,3463,14100.30308370044
1975,3465,15077.91555232379
1975,3466,11459.26281127804
1975,3469,11397.63298098049
1975,3471,9603.74796052744
1975,3479,10404.528633704684
1975,3482,12076.927672729887
1975,3483,11199.18886939882
1975,3484,11955.268851138118
1975,3489,12645.83
1975,3493,12002.711064772579
1975,3494,11928.897754528634
1975,3495,10953.4055564426
1975,3496,10189.077859492052
1975,3497,12098.947217675941
1975,3498,12937.08520437536
1975,3499,10571.04132778764
1975,3511,14562.198651028913
1975,3519,14342.216593921978
1975,3523,13520.113705247833
1975,3524,10533.285345535609
1975,3531,14236.500087707462
1975,3532,12776.79029860393
1975,3533,13160.54091388686
1975,3534,13876.00931029346
1975,3535,12270.30086667896
1975,3536,12630.342711898531
1975,3537,12366.898701040493
1975,3541,13296.827194570136
1975,3542,13505.05349680675
1975,3544,13237.389704959196
1975,3545,12308.028608082104
1975,3546,10521.349434889435
1975,3547,14191.636284722223
1975,3549,11818.033579837005
1975,3551,12461.498279388761
1975,3552,10893.393965057558
1975,3553,11500.973499232447
1975,3554,12924.088981884257
1975,3555,12785.314059987415
1975,3559,12649.229603293414
1975,3561,12457.936109839817
1975,3562,12913.821420111874
1975,3563,12601.482481956415
1975,3564,11759.89282777524
1975,3565,15243.992795238593
1975,3566,13207.782586493042
1975,3567,12890.304246408312
1975,3568,11899.532005627363
1975,3569,12471.231922238372
1975,3572,13304.39823793756
1975,3573,14775.554356949373
1975,3574,12775.01192552775
1975,3576,11037.643676448683
1975,3579,12520.620106292345
1975,3581,10456.113761720904
1975,3582,10907.19037735849
1975,3585,11351.125079179457
1975,3586,11372.684269304404
1975,3589,11280.902220478107
1975,3592,12502.709069162034
1975,3599,11437.371302448819
1975,3612,11140.222690729184
1975,3613,11498.101271379079
1975,3621,11843.783112074416
1975,3622,11177.0829617339
1975,3623,13651.424092924499
1975,3624,11692.059500805153
1975,3629,9521.266252119842
1975,3631,10262.525053245152
1975,3632,10805.315683136103
1975,3633,12361.666866626674
1975,3634,8587.216948184594
1975,3635,10686.084783895796
1975,3636,12631.163104611924
1975,3639,10833.890041074676
1975,3641,10387.56586859381
1975,3643,10298.555898991905
1975,3644,10922.31411171377
1975,3645,8993.51589064915
1975,3646,9945.72533047517
1975,3647,12890.59625307613
1975,3648,9895.343960558752
1975,3651,10344.985145888595
1975,3652,11431.434776773733
1975,3661,13175.105877935554
1975,3662,14094.91712182907
1975,3671,11091.548633508743
1975,3672,10600.06737846801
1975,3673,13158.411044675091
1975,3674,12262.370188960716
1975,3675,8044.106248537328
1975,3676,9425.102593883083
1975,3677,7627.202697419859
1975,3678,10278.335872576177
1975,3679,9592.033623031777
1975,3691,12269.867573791082
1975,3692,9886.152037882632
1975,3693,12192.832685050798
1975,3694,11805.63066838087
1975,3699,9241.176280273618
1975,3711,16481.574016602463
1975,3713,11086.041302904989
1975,3714,14223.226037065077
1975,3715,10768.294028416847
1975,3721,15854.931722674602
1975,3724,15359.298786382557
1975,3728,13661.572536491443
1975,3731,12382.141830340037
1975,3732,9581.443061858132
1975,3743,13810.774601390742
1975,3751,10318.631887701655
1975,3761,17442.441599486992
1975,3764,17065.837613918808
1975,3769,15102.664434755528
1975,3792,9303.295695919509
1975,3795,14301.757473035439
1975,3799,9557.80164258239
1975,3811,13144.50876154203
1975,3822,10772.620266623047
1975,3823,11862.740964284865
1975,3824,10731.840634497072
1975,3825,11926.387925583253
1975,3829,10924.869187233795
1975,3832,13141.416211251435
1975,3841,9943.651130384644
1975,3842,10500.404796080458
1975,3843,10917.124260355029
1975,3851,9041.308576891559
1975,3861,15220.400321808731
1975,3873,8977.050878966766
1975,3911,9739.178815729998
1975,3914,9851.615711829125
1975,3915,9577.776317333646
1975,3931,9075.290248663328
1975,3942,6533.921371224672
1975,3944,8546.776187840936
1975,3949,8523.734896121536
1975,3951,8973.68395522388
1975,3952,8759.929897643418
1975,3953,9757.344246274126
1975,3955,10246.235926628717
1975,3961,7875.49703002087
1975,3962,7189.965314834579
1975,3963,9355.964559386974
1975,3964,8830.972653407713
1975,3991,8580.717673874207
1975,3993,10660.295144761716
1975,3995,9154.901211203634
1975,3996,12656.891221138412
1975,3999,8507.787956798938
1975,4010,
1975,4040,
1975,4110,9407.700001459705
1975,4120,5397.41287860945
1975,4130,11988.88310991957
1975,4140,6997.378620261032
1975,4150,4605.148593009937
1975,4170,7468.060948790449
1975,4210,12421.059580824522
1975,4220,9580.060459183673
1975,4230,13061.74212824638
1975,4410,21612.12806183547
1975,4420,18884.036759653703
1975,4430,20070.32729711603
1975,4440,13273.280321872713
1975,4450,12805.874244616563
1975,4460,10334.503746674149
1975,4510,17155.730998629933
1975,4520,10346.93755045131
1975,4580,9556.292083910012
1975,4610,16342.583610315187
1975,4710,12181.916188010679
1975,4720,9688.256939040208
1975,4740,13706.612336448597
1975,4780,9655.672786028603
1975,4810,13070.443830092792
1975,4820,14864.71412627551
1975,4830,12268.919423827303
1975,4890,10949.645852828584
1975,4910,14130.576405539126
1975,4920,12994.171249219238
1975,4930,15101.728087649402
1975,4940,9635.972828672622
1975,4950,10272.132192118866
1975,4960,15972.908983451536
1975,4970,8807.935742971888
1975,5010,11286.261345645726
1975,5020,11983.974788242323
1975,5030,12730.945312026506
1975,5040,11667.776988411557
1975,5050,15594.770628556647
1975,5060,13174.817326006587
1975,5070,12435.455931395903
1975,5080,13381.334878344094
1975,5090,11291.876901974381
1975,5110,13402.407428693974
1975,5120,12554.82529849065
1975,5130,13574.538965777798
1975,5140,11129.764961033634
1975,5150,8404.877423192414
1975,5160,14763.154035220148
1975,5170,12682.250994819431
1975,5180,13286.109336346439
1975,5190,10180.391381362437
1975,5210,9537.727131000449
1975,5230,9015.794931051607
1975,5250,6792.694374041862
1975,5260,7869.832160536305
1975,5270,8885.77555310497
1975,5310,6275.356868643477
1975,5330,5439.733138054678
1975,5390,5251.618972037128
1975,5410,7556.982689621388
1975,5420,7059.553138706412
1975,5430,5506.326793823797
1975,5440,4225.249012212644
1975,5450,4194.122103861518
1975,5460,4429.52917623341
1975,5490,5408.329583622114
1975,5510,11219.261514519432
1975,5520,8664.007767218116
1975,5530,8610.406783963297
1975,5540,5676.411614696392
1975,5550,8515.584318897303
1975,5560,9081.57692623287
1975,5570,7975.765933468056
1975,5590,9261.91807505013
1975,5610,7167.978763496008
1975,5620,5163.534071709529
1975,5630,5129.240579710145
1975,5640,4565.055737704918
1975,5650,5832.289836344759
1975,5660,6233.7239026811685
1975,5680,8009.466318785579
1975,5690,5928.5969176746
1975,5710,8425.072997043791
1975,5720,8279.88449099773
1975,5730,7509.594670079292
1975,5810,3855.734597971637
1975,5910,6306.810892907148
1975,5920,5567.83613682017
1975,5930,6586.818125953069
1975,5940,6036.850009176453
1975,5960,7408.421049497876
1975,5980,10158.06405422082
1975,5990,6192.0507834721
1975,6010,10813.334040216609
1975,6020,9281.167436962049
1975,6030,9747.476537152805
1975,6040,10945.558754129306
1975,6050,12261.086099845674
1975,6110,13054.009852216748
1975,6120,9435.183945206496
1975,6130,10518.097396876252
1975,6140,8667.869952703379
1975,6150,11693.327149453018
1975,6160,12030.965773914682
1975,6210,18845.464780214308
1975,6220,18436.470493128538
1975,6230,13770.689679547597
1975,6280,16568.90736787295
1975,6310,11266.40449966093
1975,6320,9954.24656968696
1975,6330,10904.639691679391
1975,6350,10825.197804563066
1975,6360,10019.454804074516
1975,6370,10596.866256905003
1975,6390,9518.497883149874
1975,6410,10579.363724406303
1975,6510,6472.934025042916
1975,6530,8796.190068804526
1975,6540,8205.675673969316
1975,6550,9270.091988795519
1975,6610,9147.633032046015
1975,6710,15721.00702845348
1975,6720,13841.30395545315
1975,6730,9095.28740107225
1975,6790,11270.499220547843
1975,7010,4863.129461466918
1975,7020,4334.660021803457
1975,7030,4812.216462851443
1975,7040,5113.189092641105
1975,7210,5721.589623271704
1975,7220,6610.532831993546
1975,7230,4968.7468373062
1975,7240,5956.662241224122
1975,7250,5374.02557005404
1975,7260,8232.011963737597
1975,7290,4870.309059108797
1975,7310,13114.955075781496
1975,7320,7609.780516371499
1975,7330,9202.486248865085
1975,7340,4888.787298869901
1975,7350,15375.459881255301
1975,7360,5161.253537931397
1975,7370,11901.077275041775
1975,7390,9940.562646274984
1975,7510,9888.274837153796
1975,7520,5857.732064302395
1975,7530,8871.962357514909
1975,7540,4740.826925436982
1975,7620,9371.86898669396
1975,7630,7682.605396632177
1975,7640,6755.574411032369
1975,7690,10032.531548211407
1975,7810,16382.351689692157
1975,7820,12570.012173396675
1975,7830,3881.7239786694217
1975,7910,3860.6893726769326
1975,7920,8621.737378912072
1975,7930,4636.842846330109
1975,7940,9820.441205352563
1975,7990,5820.605211802124
1975,8010,15232.07083390623
1975,8020,8663.029460910038
1975,8030,11978.74697574638
1975,8040,7380.570852349425
1975,8050,4765.206745476364
1975,8060,8194.843855283658
1975,8070,10121.3366739969
1975,8080,8768.349732433182
1975,8090,7295.509766058508
1975,8110,11428.028555071329
1975,8210,5927.268178748312
1975,8220,9532.867341015406
1975,8230,6606.93090557525
1975,8240,8119.560112233446
1975,8290,6127.5845894865715
1975,8320,6685.127397206219
1975,8330,6014.74662156083
1975,8350,4299.864058584445
1975,8360,5536.473621062014
1975,8390,6681.587494311699
1975,8410,6879.882724218671
1975,8420,7530.357381305638
1975,8610,10920.098963421253
1975,8620,11899.528778875567
1975,8630,7432.098977028651
1975,8640,4875.945523792935
1975,8650,7794.4602043976465
1975,8660,6168.701514934972
1975,8690,7643.725150935061
1975,8810,4736.5500268850565
1975,8910,14658.81614637248
1975,8920,11769.915684398244
1975,8930,11525.203842183886
1975,8990,13387.451296426068
1975,9990,8327.634740401396
1976,110,7923.000183857327
1976,130,8434.556126545689
1976,160,7371.161372397841
1976,170,4865.953301637613
1976,180,7496.862334187939
1976,190,6661.356926994907
1976,210,7992.192797734914
1976,240,8167.77342854624
1976,250,7171.53071672355
1976,270,6870.983123312331
1976,290,6851.567919612951
1976,710,8872.262076624098
1976,720,7466.743050006308
1976,740,7723.342157077226
1976,750,6189.771063059959
1976,760,4371.15108317899
1976,780,7594.912395759718
1976,810,10937.386039336676
1976,820,6624.382314694409
1976,840,7079.939597315436
1976,850,7629.652207591014
1976,910,16051.255334055155
1976,920,7182.314814814815
1976,970,6324.255263157895
1976,1010,16725.708711092542
1976,1020,15899.396513393342
1976,1030,13714.16538992842
1976,1040,13728.730064516129
1976,1050,14486.565947242207
1976,1060,15028.521586066334
1976,1080,15366.492944271706
1976,1090,15103.39789196311
1976,1110,13875.999411591645
1976,1210,16714.79914438788
1976,1310,18069.35854354164
1976,1320,16555.945398187887
1976,1380,14034.189674106045
1976,1410,9875.541493775934
1976,1420,12790.302345632053
1976,1440,12985.852409723995
1976,1450,12258.618608040812
1976,1470,14950.556755344625
1976,1480,12857.245014245014
1976,1490,11432.758953168044
1976,1520,10688.870943362328
1976,1530,11043.027870246278
1976,1540,14576.604316627148
1976,1610,14220.45433053323
1976,1620,16952.03496831369
1976,1710,14120.351244336225
1976,1720,10830.178136670873
1976,1730,15119.143599969948
1976,1740,11463.6731298765
1976,1750,10271.299809896458
1976,1760,11145.71106861291
1976,1770,10953.66742665752
1976,1780,11041.726162332545
1976,1790,13101.53962205741
1976,2011,13372.460190244416
1976,2013,13003.022559333001
1976,2016,7198.989155933254
1976,2017,7229.523135906928
1976,2021,10485.721051262035
1976,2022,10841.151254125412
1976,2023,12379.56715345942
1976,2024,10644.53571605366
1976,2026,11898.977070289808
1976,2032,11708.321648351648
1976,2033,9785.31754621109
1976,2034,10259.884198895028
1976,2035,9946.65295314119
1976,2037,8843.89356681296
1976,2038,9295.459036502862
1976,2041,14344.210237203495
1976,2043,16284.216908625107
1976,2044,11483.552190591561
1976,2045,13293.99859194593
1976,2046,17188.493972272452
1976,2047,12530.43401669531
1976,2048,11806.102469355124
1976,2051,11951.292279430472
1976,2052,11833.5643496051
1976,2061,12798.736592525685
1976,2062,16082.616275936405
1976,2063,11348.485876388218
1976,2065,9546.551415033935
1976,2066,12069.11143230138
1976,2067,11457.151511807548
1976,2074,9763.108557844691
1976,2075,13405.118430192175
1976,2076,12990.379324894515
1976,2077,13828.752949462934
1976,2079,14568.011796453355
1976,2082,17719.908673656726
1976,2083,16141.245558375635
1976,2084,12208.970721649484
1976,2085,14405.118388847504
1976,2086,11442.57905289805
1976,2087,15512.548273120748
1976,2091,9644.490079667123
1976,2092,7182.976776769764
1976,2095,14073.984477961634
1976,2097,9008.17190278601
1976,2098,10832.102459995223
1976,2099,11264.44003402696
1976,2111,13454.361926941821
1976,2121,7619.066201032493
1976,2131,11108.384523453838
1976,2141,8148.620884814667
1976,2211,8850.681368288075
1976,2221,9523.844910809727
1976,2231,9485.254784156654
1976,2241,8339.22404989423
1976,2251,6847.0487739960745
1976,2252,6461.57800698191
1976,2253,8029.52648088503
1976,2254,7292.054314403113
1976,2257,9349.645624689772
1976,2258,9542.151012464668
1976,2259,8493.441005802708
1976,2261,9570.758099288267
1976,2262,10347.894799092159
1976,2269,9461.81285270068
1976,2271,9799.0822571589
1976,2272,9606.868221105527
1976,2279,7445.558951965066
1976,2281,8016.251464289849
1976,2282,7888.862223297448
1976,2283,8392.01904426027
1976,2284,8465.497193186218
1976,2291,11158.7880304679
1976,2292,8844.373072360617
1976,2293,10208.97822195704
1976,2294,9231.178141796776
1976,2295,12755.089310095575
1976,2296,8863.329989711934
1976,2297,11292.654002713703
1976,2298,8656.417815802717
1976,2299,9985.232156940063
1976,2311,8322.90165826803
1976,2321,6327.682337571851
1976,2322,6509.685112151837
1976,2323,8888.785833333333
1976,2327,6558.348829564133
1976,2328,6526.048624993784
1976,2329,7002.850156216715
1976,2331,6758.368016772733
1976,2335,6966.943966812268
1976,2337,8019.12870367765
1976,2339,6836.230609156261
1976,2341,6487.362687846562
1976,2342,8133.9248022184165
1976,2351,7563.214775323686
1976,2352,6817.418911658608
1976,2361,6686.679902512186
1976,2363,6752.9223433242505
1976,2369,6623.174112456095
1976,2371,11744.294751009422
1976,2381,6505.309499163946
1976,2384,6634.192057634862
1976,2385,7567.504204649848
1976,2386,8407.90272701715
1976,2387,7549.707746857204
1976,2389,7053.957593688363
1976,2391,6905.482972026735
1976,2392,7469.6732939279955
1976,2393,7924.220197876448
1976,2394,8490.689809384165
1976,2395,7939.607483334528
1976,2396,12560.185927897104
1976,2397,8969.107604373758
1976,2399,8122.360467251956
1976,2411,10539.989560472151
1976,2421,10719.93940031392
1976,2426,7656.907840168521
1976,2429,9396.72262118492
1976,2431,10458.689911317688
1976,2434,9570.320317652231
1976,2435,9269.68624370594
1976,2436,13063.813916862606
1976,2439,10030.244619994552
